cell_area,cell_length,cell_width_avg,cell_width_max,dye_area,dye_length,dye_width,dye_delta,ratio_area,ratio_length,ratio_width,DNA_intensity,DNA_perNuc,nuclei_delta,nucleiNr,mid2_check,cut3_check,cycle_phase,growth_rate,OD_extraction,stain_check,analysis_mode,condition,replica,tPoint
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
7.53734939759036,2.55892468437092,2.43110211042422,3.20620336815178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6119100,1204500,1.345008,1,0,0,1,0.0587,0.4,0,MAT,Trp,C,NaN
15.9972461273666,5.98339138006095,2.77627371562567,3.67518652739288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
17.8698795180723,6.20124074880279,2.85148156043488,3.50413557876785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5214300,1231500,1.57856,1,0,1,2,0.0587,0.4,0,MAT,Trp,C,NaN
24.0165232358003,8.44608184588594,2.89343423577062,3.8776167128544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
18.5969018932874,6.42170222028733,2.76143679386058,3.29437220208911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4443900,605050,5.12096,2,1,0,4,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
25.2061962134251,10.3323683064867,2.70481773609039,3.56058409720742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
15.5566265060241,6.23293426208098,2.54416968663398,3.61549776167129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3434500,735450,1.373792,1,0,0,1,0.0587,0.4,0,MAT,Trp,C,NaN
15.5566265060241,6.54725729212016,2.52029418034534,3.23144318908548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5109500,1262400,1.362512,1,0,0,1,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
-2.02409638554217,-2.89497170222029,-0.48784907269239,-0.48784907269239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0.0587,0.4,0,MAT,Trp,C,NaN
