cell_area,cell_length,cell_width_avg,cell_width_max,dye_area,dye_length,dye_width,dye_delta,ratio_area,ratio_length,ratio_width,DNA_intensity,DNA_perNuc,nuclei_delta,nucleiNr,mid2_check,cut3_check,cycle_phase,growth_rate,OD_extraction,stain_check,analysis_mode,condition,replica,tPoint
27.8888888888889,8,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16103.7321428574,16103.7321428574,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
31,8.66666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9785.13513513496,9785.13513513496,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
32.6666666666667,9.33333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19330.8267045452,19330.8267045452,8.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
22.6666666666667,5.66666666666667,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10365.8139534885,10365.8139534885,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
34.7777777777778,10,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24332.875,12166.4375,7.33333333333333,2,1,0,4,0.0498,0.4,0,ISX,Trp,B,NaN
24.2222222222222,6.66666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15177.5945945946,15177.5945945946,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
18,6,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12735.0303030304,12735.0303030304,1.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
30.7777777777778,8.33333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16763,16763,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
30.6666666666667,8.66666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20878.3567073173,6959.45223577242,7,2,1,0,4,0.0498,0.4,0,ISX,Trp,B,NaN
27.1111111111111,7.33333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12265.8750000001,12265.8750000001,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
36.7777777777778,10.6666666666667,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15435.1666666664,15435.1666666664,10,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
33.8888888888889,9.33333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21531.1833333332,21531.1833333332,7.66666666666667,2,1,0,4,0.0498,0.4,0,ISX,Trp,B,NaN
40.7777777777778,10.6666666666667,NaN,5.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13188,13188,3,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
23.2222222222222,7,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11188.8836206897,11188.8836206897,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
27.1111111111111,7,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17986.8459302324,17986.8459302324,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
23.3333333333333,7,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11870.4459459461,11870.4459459461,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
23.2222222222222,6.33333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16214.1875000002,16214.1875000002,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
17.3333333333333,5.66666666666667,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8189.58620689661,8189.58620689661,1.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
19.7777777777778,5.33333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14221.8378378377,14221.8378378377,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
29.1111111111111,8.66666666666667,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16117.5321428569,16117.5321428569,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
36.7777777777778,10.3333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24905.5027777776,24905.5027777776,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
21.6666666666667,6,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12866.487804878,12866.487804878,1.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
24.7777777777778,6.33333333333333,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16123.2027027026,16123.2027027026,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
32.4444444444444,10.3333333333333,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9771.6385135136,9771.6385135136,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
32.6666666666667,8.66666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11208.9664634147,11208.9664634147,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
27.4444444444444,8,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15014.9411764708,15014.9411764708,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
27.4444444444444,7.66666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19866.2281249997,19866.2281249997,7.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
28.2222222222222,6.66666666666667,NaN,5.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14596.0803571431,14596.0803571431,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
24.8888888888889,6.66666666666667,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14331.043918919,14331.043918919,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
39.7777777777778,11,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13654.4324324325,13654.4324324325,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
39.2222222222222,12.3333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24398.3750000004,12199.1875000002,10.6666666666667,2,1,0,4,0.0498,0.4,0,ISX,Trp,B,NaN
31.7777777777778,9.33333333333333,NaN,3.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13004.5277777777,13004.5277777777,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
28.7777777777778,7.66666666666667,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15957.9087837837,15957.9087837837,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
26.5555555555556,7.66666666666667,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13224.3682432431,13224.3682432431,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
28.4444444444444,8,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12860.0937500001,12860.0937500001,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
29.6666666666667,8,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20553.1959459461,20553.1959459461,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
29.8888888888889,8,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32253.3465909089,32253.3465909089,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
29.3333333333333,8,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20850.3255813956,20850.3255813956,7.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
25.3333333333333,7.33333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21346.8918918921,21346.8918918921,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
24.8888888888889,7,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15400.4594594593,15400.4594594593,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
23,6.66666666666667,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14638.5581395347,14638.5581395347,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
25.7777777777778,7.33333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8323.331081081,8323.331081081,5,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
23.8888888888889,6.33333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11145.9418604653,11145.9418604653,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
34.5555555555556,10,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15330.3986486484,15330.3986486484,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
25,7.33333333333333,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12130.7702702704,12130.7702702704,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
28.2222222222222,7.66666666666667,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17527.6071428572,17527.6071428572,2.33333333333333,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
30.2222222222222,8,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12553.4651162793,12553.4651162793,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
24.6666666666667,6.33333333333333,NaN,5.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19542.3597560973,19542.3597560973,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
25.2222222222222,7,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10421.1317567566,10421.1317567566,2,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
41.7777777777778,11.6666666666667,NaN,4.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23739.3658536582,11869.6829268291,9,2,1,0,4,0.0498,0.4,0,ISX,Trp,B,NaN
38.1111111111111,9.66666666666667,NaN,5.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28611.8797169806,28611.8797169806,9.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
30.1111111111111,8,NaN,4.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14110.8722222221,14110.8722222221,2.66666666666667,1,0,0,1,0.0498,0.4,0,ISX,Trp,B,NaN
